[     312ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[     380ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[     405ms] [WARNING] %c%s%c [seo] public/product/ nu are nicio imagine — Product JSON-LD va publica image: [], ceea ce încalcă cerințele Google pentru rich results. Adaugă poze înainte de deploy. background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  201607ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  202609ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  203611ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  204614ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  205616ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  210629ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  215633ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  220638ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  225643ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  230646ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  235653ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
[  240655ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=qHgG0OXn7Bg4_V4SSzIxw' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16359
